Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,0.430000,0.438000,0.419000,0.425000,0.425000,13300
2016-04-29,0.432000,0.437000,0.430000,0.436000,0.436000,75200
2016-05-02,0.438000,0.443000,0.430000,0.435000,0.435000,17200
2016-05-03,0.430000,0.433000,0.413000,0.413000,0.413000,15500
2016-05-04,0.424000,0.424000,0.400000,0.400000,0.400000,15300
2016-05-05,0.447000,0.447000,0.402000,0.402000,0.402000,9100
2016-05-06,0.419000,0.419000,0.365000,0.377000,0.377000,32200
2016-05-09,0.391000,0.402000,0.358000,0.359000,0.359000,37400
2016-05-10,0.356000,0.373000,0.356000,0.368000,0.368000,14800
2016-05-11,0.376000,0.378000,0.376000,0.378000,0.378000,4100
2016-05-12,0.375000,0.375000,0.353000,0.357000,0.357000,8400
2016-05-13,0.367000,0.377000,0.367000,0.376000,0.376000,4600
2016-05-16,0.380000,0.380000,0.363000,0.364000,0.364000,8300
2016-05-17,0.358000,0.359000,0.339000,0.344000,0.344000,10200
2016-05-18,0.359000,0.375000,0.333000,0.333000,0.333000,384400
2016-05-19,0.341000,0.344000,0.314000,0.320000,0.320000,19000
2016-05-20,0.338000,0.354000,0.332000,0.332000,0.332000,6900
2016-05-23,0.330000,0.330000,0.330000,0.330000,0.330000,200
2016-05-24,0.363000,0.363000,0.363000,0.363000,0.363000,40700
2016-05-25,0.366000,0.366000,0.361000,0.363000,0.363000,28500
2016-05-26,0.372000,0.372000,0.372000,0.372000,0.372000,2700
2016-05-27,0.371000,0.373000,0.369000,0.370000,0.370000,6200
2016-05-31,0.371000,0.386000,0.360000,0.376000,0.376000,21100
2016-06-01,0.380000,0.414000,0.380000,0.411000,0.411000,23900
2016-06-02,0.370000,0.413000,0.370000,0.396000,0.396000,26100
2016-06-03,0.400000,0.400000,0.380000,0.381000,0.381000,38300
2016-06-06,0.400000,0.410000,0.392000,0.408000,0.408000,28500
2016-06-07,0.412000,0.412000,0.409000,0.409000,0.409000,44000
2016-06-08,0.416000,0.430000,0.416000,0.420000,0.420000,9900
2016-06-09,0.416000,0.425000,0.397000,0.397000,0.397000,36400
2016-06-10,0.403000,0.414000,0.394000,0.394000,0.394000,21900
2016-06-13,0.388000,0.395000,0.369000,0.380000,0.380000,24200
2016-06-14,0.390000,0.394000,0.386000,0.394000,0.394000,3900
2016-06-15,0.390000,0.393000,0.374000,0.380000,0.380000,53400
2016-06-16,0.371000,0.381000,0.371000,0.375000,0.375000,4900
2016-06-17,0.380000,0.380000,0.379000,0.379000,0.379000,6500
2016-06-20,0.389000,0.389000,0.369000,0.370000,0.370000,6600
2016-06-21,0.396000,0.396000,0.387000,0.387000,0.387000,3500
2016-06-22,0.388000,0.388000,0.375000,0.376000,0.376000,40300
2016-06-23,0.379000,0.385000,0.372000,0.376000,0.376000,25400
2016-06-24,0.379000,0.379000,0.365000,0.365000,0.365000,6500
2016-06-27,0.367000,0.369000,0.355000,0.363000,0.363000,25800
2016-06-28,0.362000,0.368000,0.360000,0.360000,0.360000,99200
2016-06-29,0.360000,0.360000,0.360000,0.360000,0.360000,57500
2016-06-30,0.317000,0.368000,0.317000,0.368000,0.368000,27600
2016-07-01,0.385000,0.385000,0.340000,0.340000,0.340000,58700
2016-07-05,0.377000,0.380000,0.362000,0.369000,0.369000,30200
2016-07-06,0.367000,0.373000,0.367000,0.372000,0.372000,15900
2016-07-07,0.368000,0.368000,0.363000,0.363000,0.363000,7800
2016-07-08,0.368000,0.368000,0.347000,0.347000,0.347000,31800
2016-07-11,0.350000,0.360000,0.337000,0.342000,0.342000,42100
2016-07-12,0.394000,0.394000,0.350000,0.358000,0.358000,40900
2016-07-13,0.358000,0.358000,0.357000,0.357000,0.357000,4100
