Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,49.900002,50.279999,49.020000,49.380001,49.380001,1494900
2016-04-29,49.639999,51.779999,49.500000,51.700001,51.700001,2184900
2016-05-02,52.000000,53.759998,51.459999,52.139999,52.139999,1974700
2016-05-03,51.770000,52.000000,50.259998,50.720001,50.720001,1326500
2016-05-04,50.500000,50.820000,49.570000,49.950001,49.950001,1697200
2016-05-05,50.000000,51.080002,49.310001,50.980000,50.980000,3392300
2016-05-06,47.759998,47.970001,44.040001,45.209999,45.209999,9002200
2016-05-09,45.000000,47.169998,45.000000,46.389999,46.389999,2442600
2016-05-10,46.250000,47.880001,45.820000,47.849998,47.849998,1618900
2016-05-11,47.990002,49.660000,47.680000,49.259998,49.259998,1863300
2016-05-12,49.630001,50.020000,47.509998,48.070000,48.070000,1792700
2016-05-13,48.080002,48.599998,47.480000,48.349998,48.349998,1337600
2016-05-16,48.330002,49.169998,47.590000,48.410000,48.410000,1183100
2016-05-17,48.380001,48.939999,47.200001,47.380001,47.380001,2080100
2016-05-18,47.230000,48.680000,47.220001,48.470001,48.470001,1452100
2016-05-19,48.200001,49.279999,47.529999,48.000000,48.000000,1101600
2016-05-20,48.169998,49.580002,47.970001,49.250000,49.250000,1322600
2016-05-23,49.090000,49.740002,48.400002,48.990002,48.990002,1689300
2016-05-24,49.400002,49.500000,48.189999,48.889999,48.889999,1849400
2016-05-25,49.320000,49.900002,48.939999,49.349998,49.349998,1089500
2016-05-26,49.439999,49.830002,48.930000,49.400002,49.400002,812100
2016-05-27,49.029999,50.430000,48.830002,50.200001,50.200001,1127800
2016-05-31,50.400002,52.310001,50.150002,51.439999,51.439999,4376500
2016-06-01,51.139999,54.410000,51.000000,54.320000,54.320000,2540000
2016-06-02,53.790001,56.270000,53.549999,56.160000,56.160000,2065500
2016-06-03,56.000000,56.000000,54.430000,54.860001,54.860001,1450700
2016-06-06,54.889999,55.910000,54.259998,55.700001,55.700001,1247100
2016-06-07,55.310001,55.799999,54.389999,55.330002,55.330002,2299200
2016-06-08,55.470001,56.290001,55.240002,56.180000,56.180000,1474600
