Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,103.620003,104.660004,102.809998,102.959999,95.135887,740300
2016-04-29,102.690002,102.760002,101.419998,101.699997,93.971634,496300
2016-05-02,102.519997,102.730003,101.959999,102.470001,94.683128,336900
2016-05-03,101.669998,101.919998,100.599998,101.449997,93.740639,315000
2016-05-04,101.680000,101.680000,100.589996,100.620003,92.973709,350500
2016-05-05,101.260002,101.449997,100.669998,101.269997,93.574310,377200
2016-05-06,101.580002,102.080002,101.199997,101.959999,94.211884,283100
2016-05-09,103.459999,103.639999,102.330002,102.610001,94.812492,360200
2016-05-10,104.150002,104.820000,103.949997,104.820000,96.854538,483400
2016-05-11,101.320000,101.730003,98.019997,98.440002,90.959366,1241800
2016-05-12,98.440002,101.989998,98.440002,101.379997,93.675957,1043200
2016-05-13,100.239998,100.839996,99.690002,99.790001,92.206779,371600
2016-05-16,100.169998,101.120003,100.120003,100.820000,93.158508,322200
2016-05-17,101.010002,101.360001,100.500000,100.610001,92.964470,305800
2016-05-18,100.599998,102.089996,100.529999,101.529999,93.814552,374300
2016-05-19,99.570000,99.870003,99.230003,99.610001,92.040466,402600
2016-05-20,100.629997,101.080002,100.400002,100.610001,92.964470,340800
2016-05-23,100.320000,100.320000,99.459999,99.550003,91.985016,447900
2016-05-24,99.930000,101.110001,99.400002,100.639999,92.992188,852500
2016-05-25,101.650002,102.760002,101.440002,102.620003,94.821732,772000
2016-05-26,102.620003,102.750000,102.070000,102.269997,94.498322,371000
2016-05-27,101.800003,101.870003,100.230003,100.589996,92.945984,417600
2016-05-31,103.349998,103.980003,102.629997,103.410004,95.551689,673300
2016-06-01,104.239998,104.279999,102.820000,103.330002,95.477776,540200
2016-06-02,103.400002,103.989998,103.209999,103.820000,95.930534,301000
2016-06-03,103.690002,104.070000,102.769997,103.500000,95.634850,449900
2016-06-06,105.620003,105.839996,105.099998,105.540001,97.519829,559800
2016-06-07,105.620003,105.800003,105.410004,105.489998,97.473625,349500
2016-06-08,105.559998,105.800003,105.290001,105.650002,97.621475,217900
2016-06-09,104.500000,104.709999,104.150002,104.500000,96.558861,283300
2016-06-10,103.650002,103.760002,102.750000,103.199997,95.357651,316700
2016-06-13,102.260002,102.699997,101.489998,101.690002,93.962395,310000
2016-06-14,101.169998,101.550003,100.230003,101.080002,93.398750,375800
2016-06-15,102.639999,103.239998,102.269997,102.480003,94.692368,414900
2016-06-16,101.010002,102.120003,100.580002,101.989998,94.239594,305900
2016-06-17,103.260002,103.559998,102.480003,103.239998,95.394608,395100
2016-06-20,106.709999,107.050003,105.629997,105.800003,97.760071,567900
2016-06-21,107.300003,107.660004,107.000000,107.120003,98.979767,568100
2016-06-22,107.010002,107.550003,106.419998,106.500000,98.406876,881200
2016-06-23,109.680000,110.000000,109.129997,109.949997,101.594704,576900
2016-06-24,104.129997,105.180000,103.050003,103.959999,96.059898,783700
2016-06-27,101.180000,101.180000,99.300003,100.260002,92.641068,691200
2016-06-28,98.959999,99.940002,98.389999,99.849998,92.262222,967700
2016-06-29,100.610001,101.809998,100.459999,101.519997,93.805313,484100
2016-06-30,99.860001,99.989998,98.809998,99.989998,92.391579,1270000
2016-07-01,99.580002,100.209999,99.370003,99.639999,92.068184,515100
2016-07-05,99.629997,99.680000,98.900002,99.180000,91.643135,500700
2016-07-06,99.360001,99.849998,98.480003,99.779999,92.197548,423500
2016-07-07,100.470001,100.839996,100.050003,100.589996,92.945984,422300
2016-07-08,101.209999,102.160004,101.080002,102.070000,94.313522,372800
2016-07-11,104.919998,105.879997,104.839996,105.660004,97.630714,679300
2016-07-12,106.750000,107.279999,106.510002,106.540001,98.443832,456300
2016-07-13,108.099998,108.489998,107.260002,107.860001,99.663536,537200
2016-07-14,108.389999,108.410004,107.820000,107.980003,99.774414,296800
2016-07-15,108.940002,109.139999,108.540001,108.820000,100.550575,351300
2016-07-18,108.680000,109.180000,108.550003,109.010002,100.726143,233900
2016-07-19,108.680000,108.699997,108.129997,108.559998,100.310333,220500
2016-07-20,108.900002,109.400002,108.720001,109.300003,100.994110,192500
2016-07-21,109.160004,109.480003,108.669998,108.860001,100.587547,292700
2016-07-22,109.620003,109.879997,109.500000,109.680000,101.345222,205900
2016-07-25,109.900002,110.139999,109.620003,109.680000,101.345222,204600
2016-07-26,109.239998,109.769997,109.180000,109.599998,101.271309,198100
2016-07-27,111.410004,111.459999,110.070000,110.570000,102.167595,377700
2016-07-28,111.220001,111.320000,109.900002,110.760002,102.343155,600000
2016-07-29,112.419998,112.790001,110.879997,111.599998,103.119316,756500
2016-08-01,112.120003,112.199997,110.980003,111.230003,102.777443,445100
2016-08-02,110.339996,110.800003,109.080002,109.970001,101.613190,534100
2016-08-03,109.800003,110.080002,109.370003,110.070000,101.705589,358000
2016-08-04,112.269997,112.480003,111.309998,112.309998,103.775368,907300
2016-08-05,115.839996,116.230003,115.410004,115.959999,107.147987,602900
2016-08-08,118.129997,118.519997,117.290001,117.410004,108.487816,667900
2016-08-09,117.430000,117.500000,116.690002,117.419998,108.497047,342100
2016-08-10,117.010002,117.349998,116.900002,116.949997,108.062759,191300
2016-08-11,117.230003,117.940002,117.129997,117.769997,108.820450,262500
2016-08-12,117.570000,118.180000,117.470001,117.790001,108.838936,239900
2016-08-15,117.500000,117.889999,117.500000,117.580002,108.644897,120000
2016-08-16,117.000000,117.709999,116.800003,117.279999,108.367683,221500
2016-08-17,118.529999,119.220001,118.519997,119.199997,110.141777,537100
2016-08-18,118.250000,119.160004,118.250000,118.940002,109.901535,775200
2016-08-19,119.470001,119.849998,119.400002,119.620003,110.529869,356800
2016-08-22,120.309998,120.760002,120.199997,120.580002,111.416916,332200
2016-08-23,120.269997,120.400002,119.800003,119.800003,110.696190,169900
2016-08-24,121.580002,121.769997,120.730003,120.900002,111.712593,368500
2016-08-25,120.760002,120.959999,120.209999,120.290001,111.148956,354300
2016-08-26,118.269997,119.309998,117.970001,118.620003,109.605850,405500
2016-08-29,120.019997,120.440002,120.010002,120.339996,111.195145,205400
2016-08-30,121.230003,121.410004,120.940002,121.239998,112.026756,169500
2016-08-31,121.190002,121.370003,120.040001,120.629997,111.463112,395300
2016-09-01,121.589996,122.000000,120.570000,121.019997,111.823471,341000
2016-09-02,121.519997,122.089996,121.519997,122.080002,112.802925,339000
2016-09-06,120.510002,120.750000,120.080002,120.669998,111.500076,291900
2016-09-07,121.370003,121.800003,120.589996,120.739998,111.564758,268700
2016-09-08,120.779999,121.269997,120.650002,121.010002,111.814232,163700
2016-09-09,120.000000,120.150002,118.639999,118.660004,109.642815,370600
2016-09-12,118.660004,120.489998,118.660004,120.349998,111.204384,245200
2016-09-13,119.339996,119.820000,118.360001,118.809998,109.781410,349800
2016-09-14,117.849998,117.849998,117.309998,117.449997,108.524765,291800
2016-09-15,117.019997,118.370003,116.820000,118.169998,109.190056,224500
2016-09-16,114.870003,115.199997,114.379997,114.629997,105.919060,600200
2016-09-19,115.250000,116.029999,114.970001,115.070000,106.325623,221200
2016-09-20,116.849998,117.010002,116.320000,116.459999,107.610001,195400
2016-09-21,119.629997,120.199997,118.010002,119.449997,110.372787,402200
2016-09-22,120.830002,121.169998,120.330002,120.800003,111.620193,508300
2016-09-23,117.620003,117.889999,117.260002,117.660004,108.718811,402200
2016-09-26,116.860001,117.320000,116.500000,117.099998,108.201355,317100
2016-09-27,118.599998,118.599998,117.790001,118.320000,109.328651,325900
