Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,10.390000,10.390000,9.900000,9.900000,9.900000,34611
2018-11-13,9.550000,9.550000,9.060000,9.100000,9.100000,13900
2018-11-14,9.550000,9.600000,8.310000,8.310000,8.310000,56200
2018-11-15,8.550000,9.200000,8.520000,8.820000,8.820000,552900
2018-11-16,8.980000,9.110000,8.570000,8.680000,8.680000,113200
2018-11-19,8.760000,8.810000,8.240000,8.250000,8.250000,22900
2018-11-20,8.140000,8.200000,7.780000,7.840000,7.840000,87900
2018-11-21,7.780000,7.980000,7.330000,7.700000,7.700000,240000
2018-11-23,7.800000,7.860000,7.800000,7.840000,7.840000,1400
2018-11-26,8.190000,8.190000,7.460000,8.000000,8.000000,40000
2018-11-27,7.980000,7.980000,7.410000,7.750000,7.750000,196900
2018-11-28,7.740000,7.770000,7.490000,7.690000,7.690000,126500
2018-11-29,7.760000,7.850000,7.580000,7.640000,7.640000,113500
2018-11-30,7.640000,7.990000,7.550000,7.640000,7.640000,363500
2018-12-03,7.840000,8.150000,7.650000,7.850000,7.850000,20900
2018-12-04,7.680000,8.050000,7.620000,7.720000,7.720000,22800
2018-12-06,7.640000,7.980000,7.600000,7.750000,7.750000,309600
2018-12-07,8.150000,8.150000,7.610000,7.840000,7.840000,2310400
2018-12-10,7.940000,8.600000,7.940000,8.320000,8.320000,349200
2018-12-11,8.510000,9.590000,8.410000,9.160000,9.160000,199900
2018-12-12,9.520000,10.200000,9.150000,9.700000,9.700000,258400
2018-12-13,9.610000,10.000000,9.280000,9.450000,9.450000,293300
2018-12-14,9.460000,10.200000,8.450000,8.730000,8.730000,392400
2018-12-17,10.480000,10.480000,8.760000,9.060000,9.060000,306200
2018-12-18,8.990000,10.000000,8.660000,8.700000,8.700000,198500
2018-12-19,8.580000,8.810000,8.230000,8.470000,8.470000,549500
2018-12-20,8.340000,8.450000,7.580000,7.790000,7.790000,457300
2018-12-21,7.730000,8.370000,7.630000,7.630000,7.630000,240000
2018-12-24,7.550000,8.280000,7.550000,7.740000,7.740000,118100
2018-12-26,7.680000,8.170000,7.660000,8.070000,8.070000,331700
2018-12-27,7.880000,8.480000,7.410000,7.630000,7.630000,254300
2018-12-28,7.710000,8.490000,7.600000,7.750000,7.750000,225500
2018-12-31,7.840000,8.020000,7.350000,7.730000,7.730000,442900
2019-01-02,7.620000,8.160000,7.370000,7.660000,7.660000,115700
2019-01-03,7.600000,7.770000,7.150000,7.420000,7.420000,245800
2019-01-04,7.580000,8.270000,7.460000,8.110000,8.110000,252200
2019-01-07,8.180000,8.750000,7.930000,8.180000,8.180000,188700
2019-01-08,8.290000,8.800000,8.100000,8.250000,8.250000,276100
2019-01-09,8.410000,9.200000,8.400000,8.800000,8.800000,288100
2019-01-10,8.730000,9.250000,8.450000,8.860000,8.860000,228900
2019-01-11,8.810000,8.810000,8.350000,8.470000,8.470000,123400
2019-01-14,8.400000,8.750000,8.200000,8.330000,8.330000,283400
2019-01-15,8.370000,8.790000,8.370000,8.620000,8.620000,133800
2019-01-16,8.630000,8.820000,8.380000,8.570000,8.570000,149200
2019-01-17,8.520000,8.900000,8.260000,8.690000,8.690000,148400
2019-01-18,8.960000,9.460000,8.360000,8.570000,8.570000,128800
2019-01-22,8.500000,8.500000,8.150000,8.280000,8.280000,216300
