Date,Open,High,Low,Close,Adj Close,Volume
2018-09-12,6.000000,6.930000,5.350000,6.600000,6.600000,66849000
2018-09-13,6.620000,12.690000,6.520000,11.600000,11.600000,158346500
2018-09-14,12.660000,13.800000,9.220000,9.900000,9.900000,172473600
2018-09-17,9.610000,9.750000,8.500000,8.500000,8.500000,56323900
2018-09-18,8.730000,9.100000,7.670000,7.680000,7.680000,41827600
2018-09-19,7.880000,9.150000,7.540000,8.500000,8.500000,48306500
2018-09-20,9.070000,9.470000,8.420000,8.780000,8.780000,40120600
2018-09-21,9.050000,9.070000,8.500000,8.590000,8.590000,15118500
2018-09-24,8.320000,8.390000,7.850000,7.870000,7.870000,16297900
2018-09-25,8.060000,8.190000,7.500000,7.580000,7.580000,18909300
2018-09-26,7.590000,7.760000,7.500000,7.500000,7.500000,11088300
2018-09-27,7.550000,7.550000,7.010000,7.010000,7.010000,16815600
2018-09-28,6.970000,7.280000,6.680000,6.980000,6.980000,21813600
2018-10-01,7.060000,7.080000,6.600000,6.600000,6.600000,16429100
2018-10-02,6.600000,6.600000,5.870000,5.930000,5.930000,19440000
2018-10-03,6.120000,6.550000,6.120000,6.300000,6.300000,13251200
2018-10-04,6.190000,6.250000,6.000000,6.250000,6.250000,11896600
2018-10-05,6.200000,6.290000,6.030000,6.260000,6.260000,8378300
2018-10-08,6.070000,6.180000,5.950000,6.040000,6.040000,11508800
2018-10-09,6.190000,7.400000,6.100000,7.390000,7.390000,38464400
2018-10-10,8.100000,8.350000,7.390000,7.750000,7.750000,74971100
2018-10-11,7.440000,7.550000,6.920000,7.180000,7.180000,22730000
2018-10-12,7.460000,7.750000,7.280000,7.460000,7.460000,14545400
2018-10-15,7.860000,8.300000,7.700000,7.820000,7.820000,26781700
2018-10-16,8.060000,8.200000,7.830000,8.040000,8.040000,17490500
2018-10-17,8.120000,8.160000,7.730000,7.770000,7.770000,11705300
2018-10-18,7.600000,7.670000,7.260000,7.500000,7.500000,11906000
2018-10-19,7.590000,7.750000,7.220000,7.320000,7.320000,7336200
2018-10-22,7.680000,7.690000,7.000000,7.030000,7.030000,12758500
2018-10-23,6.740000,6.890000,6.450000,6.810000,6.810000,14901700
2018-10-24,6.850000,6.850000,6.130000,6.170000,6.170000,14789900
2018-10-25,6.270000,6.570000,6.250000,6.450000,6.450000,9188700
2018-10-26,6.210000,6.510000,6.180000,6.350000,6.350000,9459000
2018-10-29,6.530000,6.790000,6.050000,6.190000,6.190000,16027600
2018-10-30,6.200000,6.220000,5.620000,5.950000,5.950000,21823900
2018-10-31,6.080000,6.250000,5.900000,5.900000,5.900000,15213400
2018-11-01,6.000000,6.780000,5.960000,6.620000,6.620000,24330900
2018-11-02,6.840000,6.840000,6.270000,6.490000,6.490000,17988800
2018-11-05,6.520000,6.720000,6.250000,6.680000,6.680000,13188700
2018-11-06,7.220000,7.320000,6.400000,6.400000,6.400000,49855800
2018-11-07,6.420000,6.880000,6.150000,6.740000,6.740000,23761800
2018-11-08,6.490000,7.100000,6.470000,6.690000,6.690000,20510700
2018-11-09,6.590000,6.930000,6.520000,6.770000,6.770000,12789800
2018-11-12,6.720000,6.930000,6.560000,6.650000,6.650000,12709100
2018-11-13,6.690000,6.900000,6.580000,6.780000,6.780000,15374100
2018-11-14,6.800000,7.450000,6.800000,7.100000,7.100000,29585100
2018-11-15,7.150000,7.490000,7.110000,7.340000,7.340000,17904000
2018-11-16,7.400000,7.650000,7.160000,7.190000,7.190000,14972500
2018-11-19,7.380000,8.210000,7.280000,7.840000,7.840000,49171800
2018-11-20,7.650000,7.910000,7.150000,7.670000,7.670000,26923200
2018-11-21,7.900000,8.050000,7.630000,7.710000,7.710000,13993600
2018-11-23,7.680000,7.700000,7.410000,7.460000,7.460000,8119700
2018-11-26,7.610000,7.630000,7.160000,7.370000,7.370000,12164900
2018-11-27,7.300000,7.700000,7.230000,7.480000,7.480000,9084900
2018-11-28,7.600000,8.150000,7.600000,8.120000,8.120000,22096900
